"id","type","title","director","cast","country","data_added","release_year","rating","duration","duration_units","genre","plot","score","google_language","google_genre","google_plot"
"s109","TV Show","Dive Club","","Aubri Ibrag, Sana'a Shaik, Miah Madden, Mercy Cornwall, Georgia-May Davis, Ryan Harrison, Josh Heuston, Alexander Grant","Australia",2021-09-03,2021,"TV-G",1,"Season","Kids' TV, TV Dramas, Teen TV Shows","On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.",78,"present","present","Teen divers unravel a mystery when their best friend disappears after a storm hits their small coastal town."
"s110","TV Show","La casa de papel","","Úrsula Corberó, Itziar Ituño, Álvaro Morte, Paco Tous, Enrique Arce, Pedro Alonso, María Pedraza, Alba Flores, Miguel Herrán, Jaime Lorente, Esther Acebo, Darko Peric, Kiti Mánver","Spain",2021-09-03,2021,"TV-MA",5,"Seasons","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.",95,"present","present","A criminal mastermind who goes by ""The Professor"" has a plan to pull off the biggest heist in recorded history -- to print billions of euros in the Royal Mint of Spain. To help him carry out the ambitious plan, he recruits eight people with certain abilities and who have nothing to lose. The group of thieves take hostages to aid in their negotiations with the authorities, who strategize to come up with a way to capture The Professor. As more time elapses, the robbers prepare for a showdown with the police.â€¦\xa0MORE"
"s111","TV Show","Money Heist: From Tokyo to Berlin","Luis Alfaro, Javier Gómez Santander","","",2021-09-03,2021,"TV-MA",1,"Season","Docuseries, International TV Shows, Spanish-Language TV Shows","The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.",78,"present","absent","The cast and crew open up about their emotional artistic processes while filming the first half of the final season of the TV series, ""Money Heist."""
"s112","TV Show","Sharkdog","","Liam Mitchell, Dee Bradley Baker, Grey Griffin, Josh McDermitt, Kari Wahlgren, Judy Alice Lee, Ali Mawji","United States, Singapore",2021-09-03,2021,"TV-Y",1,"Season","Kids' TV","Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure.",72,"present","absent","Ten-year-old Max and his best friend, Sharkdog, embark on adventures; half shark, half dog, Sharkdog often leaves a trail of chaos in his wake."
"s113","Movie","Worth","Sara Colangelo","Michael Keaton, Stanley Tucci, Amy Ryan, Shunori Ramanathan, Ato Blankson-Wood, Tate Donovan, Laura Benanti, Chris Tardio","",2021-09-03,2021,"PG-13",119,"min","Dramas","In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.",75,"absent","absent","When Kenneth Feinberg is appointed as the special counsel for a compensation fund, he joins hands with Camille Biros and bends the rules to favour the victims of a major terror attack."
"s2","TV Show","Blood & Water","","Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng","South Africa",2021-09-24,2021,"TV-MA",2,"Seasons","International TV Shows, TV Dramas, TV Mysteries","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",85,"present","present","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
"s3","TV Show","Ganglands","Julien Leclercq","Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera","",2021-09-24,2021,"TV-MA",1,"Season","Crime TV Shows, International TV Shows, TV Action & Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",79,"present","absent","When his niece comes into contact with a powerful drug lord, Mehdi and his team of experienced robbers find themselves embroiled in a violent and deadly turf war."
"s4","TV Show","Jailbirds New Orleans","","","",2021-09-24,2021,"TV-MA",1,"Season","Docuseries, Reality TV","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",82,"absent","absent","The lives of incarcerated women at the Orleans Justice Center in New Orleans, including feuds and flirtations."
"s5","TV Show","Kota Factory","","Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar","India",2021-09-24,2021,"TV-MA",2,"Seasons","International TV Shows, Romantic TV Shows, TV Comedies","In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",97,"present","absent","Like many students from across India, Vaibhav comes to Kota to prepare for JEE and NEET. Along with his friends, he navigates campus life and works hard to get into IIT."
"s6","TV Show","Midnight Mass","Mike Flanagan","Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver","",2021-09-24,2021,"TV-MA",1,"Season","TV Dramas, TV Horror, TV Mysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",87,"present","absent","The arrival of a charismatic priest brings miracles, mysteries and renewed religious fervour to a dying town."
"s7","Movie","My Little Pony: A New Generation","Robert Cullen, José Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr","",2021-09-24,2021,"PG",91,"min","Children & Family Movies","Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",73,"absent","absent","Sunny believes her father's fairytales on old Equestria and strives to rebuild a world where all three pony races can live peacefully."
"s9","TV Show","The Great British Baking Show","Andy Devonshire","Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood","United Kingdom",2021-09-24,2021,"TV-14",9,"Seasons","British TV Shows, Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",91,"absent","absent","Home bakers compete against each other in order to prove their baking skills and win the title of Britain's best amateur baker."
"s10","Movie","The Starling","Theodore Melfi","Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor","United States",2021-09-24,2021,"PG-13",104,"min","Comedies, Dramas","A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.",75,"absent","absent","After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity for love."
"s11","TV Show","Vendetta: Truth, Lies and The Mafia","","","",2021-09-24,2021,"TV-MA",1,"Season","Crime TV Shows, Docuseries, International TV Shows","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",62,"present","present","What happens when the members of Sicily's anti-Mafia coalition are accused of being criminals themselves."
"s12","TV Show","Bangkok Breaking","Kongkiat Komesiri","Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul","",2021-09-23,2021,"TV-MA",1,"Season","Crime TV Shows, International TV Shows, TV Action & Adventure","Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",67,"absent","absent","After joining an emergency rescue service to make ends meet, a man gets caught up in a citywide conspiracy in Bangkok, Thailand."
"s13","Movie","Je Suis Karl","Christian Schwochow","Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová","Germany, Czech Republic",2021-09-23,2021,"TV-MA",127,"min","Dramas, International Movies","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",61,"present","absent","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
"s14","Movie","Confessions of an Invisible Girl","Bruno Garotti","Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo","",2021-09-22,2021,"TV-PG",91,"min","Children & Family Movies, Comedies","When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",61,"present","absent","When the clever but socially awkward TetÃª joins a new school, she'll do anything to fit in. However, the queen bee, among her classmates, has other ideas."
"s15","TV Show","Crime Stories: India Detectives","","","",2021-09-22,2021,"TV-MA",1,"Season","British TV Shows, Crime TV Shows, Docuseries","Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.",86,"present","absent","Cameras following Bengaluru police on the job offer a glimpse into the inner workings of four major crime investigations."
"s16","TV Show","Dear White People","","Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito","United States",2021-09-22,2021,"TV-MA",4,"Seasons","TV Comedies, TV Dramas","Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",75,"absent","present","Based on the acclaimed film of the same name, this Netflix-original series follows a group of students of color at Winchester University, a predominantly white Ivy League college. The students are faced with a landscape of cultural bias, social injustice, misguided activism and slippery politics. Through an absurdist lens, the series uses irony, self-deprecation, brutal honesty and humor to highlight issues that still plague today\'s""post-racial"" society. Creator Justin Simien serves as an executive producer.â€¦\xa0MORE"
"s19","Movie","Intrusion","Adam Salky","Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain","",2021-09-22,2021,"TV-14",94,"min","Thrillers","After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",57,"present","absent","When a husband and wife move to a small town, a home invasion leaves the wife traumatized and suspicious that those around her might not be who they seem."
"s21","TV Show","Monsters Inside: The 24 Faces of Billy Milligan","Olivier Megaton","","",2021-09-22,2021,"TV-14",1,"Season","Crime TV Shows, Docuseries, International TV Shows","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",79,"present","present","When accused serial rapist Billy Milligan blames his crimes on his multiple personalities, a series of legal battles capture America's attention."
"s26","TV Show","Love on the Spectrum","","Brooke Satchwell","Australia",2021-09-21,2021,"TV-14",2,"Seasons","Docuseries, International TV Shows, Reality TV","Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",93,"present","present","Seven young adults on the autism spectrum dive headfirst into the dating pool, exploring the unpredictable world of love and relationships."
"s114","Movie","Afterlife of the Party","Stephen Herek","Victoria Justice, Midori Francis, Robyn Scott, Adam Garcia, Timothy Renouf, Gloria Garcia, Myfanwy Waring, Spencer Sutherland","",2021-09-02,2021,"TV-PG",110,"min","Comedies, Romantic Movies","Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.",72,"present","absent","Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings."
"s118","Movie","Final Account","Luke Holland","","United Kingdom, United States",2021-09-02,2021,"PG-13",94,"min","Documentaries","This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.",48,"present","absent","Never-before-seen interviews with the last living generation from Hitler's Third Reich. This is the past speaking to the present. An unprecedented documentary event."
"s121","TV Show","Heroes of Goo Jit Zu","","Jon Allen, Kellen Goff, Joe Hernandez, Kaiji Tang","Australia",2021-09-02,2021,"TV-Y7",1,"Season","Kids' TV, TV Comedies","After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers.",78,"absent","absent","After a meteor crash, zoo animals transform into squishy, gooey and stretchy superheroes with special powers and soon take on evildoers."
"s126","TV Show","Q-Force","","Sean Hayes, Wanda Sykes, Laurie Metcalf, David Harbour, Gary Cole, Patti Harrison, Matt Rogers","United States",2021-09-02,2021,"TV-MA",1,"Season","Crime TV Shows, TV Action & Adventure, TV Comedies","A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!",75,"absent","present","A handsome secret agent and his team of LGBTQ+ superspies embark on extraordinary adventures."
"s31","Movie","Ankahi Kahaniya","Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh","",2021-09-17,2021,"TV-14",111,"min","Dramas, Independent Movies, International Movies","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",48,"present","absent","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
"s32","TV Show","Chicago Party Aunt","","Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske","",2021-09-17,2021,"TV-MA",1,"Season","TV Comedies","Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.",71,"absent","present","Diane, AKA the Chicago Party Aunt, is always the life of the party as she helps neighbours and stays true to her mantras."
"s34","TV Show","Squid Game","","Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi","",2021-09-17,2021,"TV-MA",1,"Season","International TV Shows, TV Dramas, TV Thrillers","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",93,"present","present","Hundreds of cash-strapped contestants accept an invitation to compete in children's games for a tempting prize, but the stakes are deadly."
"s36","Movie","The Father Who Moves Mountains","Daniel Sandu","Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota","",2021-09-17,2021,"TV-MA",110,"min","Dramas, International Movies, Thrillers","When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",43,"present","absent","When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing -- and risk everything -- to find him."
"s37","Movie","The Stronghold","Cédric Jimenez","Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot","",2021-09-17,2021,"TV-MA",105,"min","Action & Adventure, Dramas, International Movies","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",88,"present","absent","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. However, lines blur when a key informant makes a big ask."
"s40","TV Show","Chhota Bheem","","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil","India",2021-09-16,2021,"TV-Y7",3,"Seasons","Kids' TV","A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",68,"absent","present","Bheem is an extremely brave, strong and intelligent young boy. He often manages to solve everyone's problems which endears him to the townspeople of Dholakpur."
"s41","TV Show","He-Man and the Masters of the Universe","","Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore","United States",2021-09-16,2021,"TV-Y7",1,"Season","Kids' TV, TV Sci-Fi & Fantasy","Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.",88,"absent","absent","When he holds up the magical Sword of Power and utters the words ""By the power of Grayskull,"" Prince Adam transforms into Eternia\'s greatest champion, He-Man, who uses his powers to defend the realm from Skeletor and his evil forces."
"s50","TV Show","Castle and Castle","","Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi","Nigeria",2021-09-15,2021,"TV-MA",2,"Seasons","International TV Shows, TV Dramas","A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",87,"absent","absent","A pair of successful lawyers find their marriage strained when they divide their strengths to represent different sides of the law."
"s56","TV Show","Nailed It","","Nicole Byer, Jacques Torres","United States",2021-09-15,2021,"TV-PG",6,"Seasons","Reality TV","Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",91,"absent","present","Home bakers who have a poor track record in the kitchen seek redemption -- and cash -- on this series. In each episode, three contestants try their hand at re-creating edible masterpieces. The projects don't always turn out great, but whichever amateur baker comes closest to a successful dessert by the end of the episode takes home the $10,000 prize, which they might want to use on baking lessons. Comic Nicole Byer and renowned pastry chef Jacques Torres host the culinary competition that features such challenges as painting self-portraits on cookies.â€¦\xa0MORE"
"s65","Movie","Nightbooks","David Yarovesky","Winslow Fegley, Lidya Jewett, Krysten Ritter","",2021-09-15,2021,"TV-PG",103,"min","Children & Family Movies","Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.",65,"absent","absent","Scary story fan Alex must tell a spine-tingling tale every night, or stay trapped with his new friend in a wicked witch's magical apartment forever."
"s66","TV Show","Numberblocks","","Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher","United Kingdom",2021-09-15,2021,"TV-Y",6,"Seasons","Kids' TV","In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",84,"present","absent","The adventures of ten friends in Numberland who can always count on each other. Each friend has a different ability that helps them on their adventures."
"s71","TV Show","Too Hot To Handle: Latino","","Itatí Cantoral","",2021-09-15,2021,"TV-MA",1,"Season","International TV Shows, Reality TV, Romantic TV Shows","On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",79,"present","absent","Young singles come together in a tropical paradise for what they think will be the hottest summer of their lives. However, there's a twist: they'll have to give up all hanky panky if they want to win the $100,000 grand prize."
"s72","Movie","A StoryBots Space Adventure","David A. Vargas","Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux","",2021-09-14,2021,"TV-Y",13,"min","Children & Family Movies","Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.",48,"absent","absent","The Inspiration4 crew members and the StoryBots answer kids' questions about space travel, including how rockets work, how the crew members train and how they eat and sleep in space."
"s73","TV Show","Jack Whitehall: Travels with My Father","","Jack Whitehall, Michael Whitehall","United Kingdom",2021-09-14,2021,"TV-MA",5,"Seasons","British TV Shows, Docuseries, International TV Shows","Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",90,"absent","present","Comic Jack Whitehall and his father, Michael, are like an odd couple -- the son is jovial and the patriarch is stuffy. So traveling together makes for an interesting dynamic, as viewers experience in this travelogue series. Jack invites Michael to go with him on a trip through Southeast Asia in an attempt to try to strengthen their bond. Along the way, the Whitehalls partake in a number of unique experiences, including attending an elephant polo match in Bangkok and taking a primitive train ride in Cambodia. When it's over, the father and son reflect on the impact of their journey. Subsequent seasons take the father-son duo to other parts of the world.â€¦\xa0MORE"
"s75","TV Show","The World's Most Amazing Vacation Rentals","","","",2021-09-14,2021,"TV-PG",2,"Seasons","Reality TV","With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",91,"absent","absent","With an eye for every budget, three travellers visit holiday rentals around the globe and share their expert tips and tricks."
"s76","Movie","You vs. Wild: Out Cold","Ben Simms","Bear Grylls, Jason Derek Prempeh","",2021-09-14,2021,"TV-G",106,"min","Children & Family Movies","After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",75,"absent","absent","A plane crash in icy mountains leaves adventurer Bear Grylls with amnesia, and he must make choices to save the missing pilot and survive in this interactive adventure."
"s80","Movie","Tughlaq Durbar (Telugu)","Delhiprasad Deenadayalan","Vijay Sethupathi, Parthiban, Raashi Khanna","",2021-09-11,2021,"TV-14",145,"min","Comedies, Dramas, International Movies","A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.",64,"present","absent","A young politician has devious plans to advance his career. However, he suddenly develops a conscientious alter ego that interferes with his crooked efforts."
"s81","Movie","Firedrake the Silver Dragon","Tomer Eshed","Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie","",2021-09-10,2021,"TV-Y7",93,"min","Children & Family Movies","When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",52,"absent","absent","A young silver dragon joins his forces with a mountain spirit and an orphaned boy, in search of the mythological safe haven for dragons. However, the journey of the unlikely group of heroes hides great danger and many surprises."
"s82","Movie","Kate","Cedric Nicolas-Troyan","Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau","United States",2021-09-10,2021,"R",106,"min","Action & Adventure","Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",74,"absent","absent","Slipped a fatal poison on her final job, a ruthless Tokyo assassin has less than 24 hours to find out who ordered the hit and exact revenge."
