"id","type","title","data_added","release_year","rating","duration","duration_units","plot","score","google_language","google_genre","google_plot"
"s111","TV Show","Money Heist: From Tokyo to Berlin","2021-09-03",2021,"TV-MA",1,"Season","The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.",78,"present","absent","The cast and crew open up about their emotional artistic processes while filming the first half of the final season of the TV series, ""Money Heist."""
"s112","TV Show","Sharkdog","2021-09-03",2021,"TV-Y",1,"Season","Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure.",72,"present","absent","Ten-year-old Max and his best friend, Sharkdog, embark on adventures; half shark, half dog, Sharkdog often leaves a trail of chaos in his wake."
"s113","Movie","Worth","2021-09-03",2021,"PG-13",119,"min","In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.",75,"absent","absent","When Kenneth Feinberg is appointed as the special counsel for a compensation fund, he joins hands with Camille Biros and bends the rules to favour the victims of a major terror attack."
"s2","TV Show","Blood & Water","2021-09-24",2021,"TV-MA",2,"Seasons","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",85,"present","present","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
"s3","TV Show","Ganglands","2021-09-24",2021,"TV-MA",1,"Season","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",79,"present","absent","When his niece comes into contact with a powerful drug lord, Mehdi and his team of experienced robbers find themselves embroiled in a violent and deadly turf war."
"s4","TV Show","Jailbirds New Orleans","2021-09-24",2021,"TV-MA",1,"Season","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",82,"absent","absent","The lives of incarcerated women at the Orleans Justice Center in New Orleans, including feuds and flirtations."
"s5","TV Show","Kota Factory","2021-09-24",2021,"TV-MA",2,"Seasons","In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",97,"present","absent","Like many students from across India, Vaibhav comes to Kota to prepare for JEE and NEET. Along with his friends, he navigates campus life and works hard to get into IIT."
"s6","TV Show","Midnight Mass","2021-09-24",2021,"TV-MA",1,"Season","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",87,"present","absent","The arrival of a charismatic priest brings miracles, mysteries and renewed religious fervour to a dying town."
"s7","Movie","My Little Pony: A New Generation","2021-09-24",2021,"PG",91,"min","Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",73,"absent","absent","Sunny believes her father's fairytales on old Equestria and strives to rebuild a world where all three pony races can live peacefully."
"s9","TV Show","The Great British Baking Show","2021-09-24",2021,"TV-14",9,"Seasons","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",91,"absent","absent","Home bakers compete against each other in order to prove their baking skills and win the title of Britain's best amateur baker."
"s10","Movie","The Starling","2021-09-24",2021,"PG-13",104,"min","A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.",75,"absent","absent","After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity for love."
"s11","TV Show","Vendetta: Truth, Lies and The Mafia","2021-09-24",2021,"TV-MA",1,"Season","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",62,"present","present","What happens when the members of Sicily's anti-Mafia coalition are accused of being criminals themselves."
"s12","TV Show","Bangkok Breaking","2021-09-23",2021,"TV-MA",1,"Season","Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",67,"absent","absent","After joining an emergency rescue service to make ends meet, a man gets caught up in a citywide conspiracy in Bangkok, Thailand."
"s13","Movie","Je Suis Karl","2021-09-23",2021,"TV-MA",127,"min","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",61,"present","absent","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
"s14","Movie","Confessions of an Invisible Girl","2021-09-22",2021,"TV-PG",91,"min","When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",61,"present","absent","When the clever but socially awkward TetÃª joins a new school, she'll do anything to fit in. However, the queen bee, among her classmates, has other ideas."
"s15","TV Show","Crime Stories: India Detectives","2021-09-22",2021,"TV-MA",1,"Season","Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.",86,"present","absent","Cameras following Bengaluru police on the job offer a glimpse into the inner workings of four major crime investigations."
"s16","TV Show","Dear White People","2021-09-22",2021,"TV-MA",4,"Seasons","Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",75,"absent","present","Based on the acclaimed film of the same name, this Netflix-original series follows a group of students of color at Winchester University, a predominantly white Ivy League college. The students are faced with a landscape of cultural bias, social injustice, misguided activism and slippery politics. Through an absurdist lens, the series uses irony, self-deprecation, brutal honesty and humor to highlight issues that still plague today\'s""post-racial"" society. Creator Justin Simien serves as an executive producer.â€¦\xa0MORE"
"s19","Movie","Intrusion","2021-09-22",2021,"TV-14",94,"min","After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",57,"present","absent","When a husband and wife move to a small town, a home invasion leaves the wife traumatized and suspicious that those around her might not be who they seem."
"s21","TV Show","Monsters Inside: The 24 Faces of Billy Milligan","2021-09-22",2021,"TV-14",1,"Season","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",79,"present","present","When accused serial rapist Billy Milligan blames his crimes on his multiple personalities, a series of legal battles capture America's attention."
"s26","TV Show","Love on the Spectrum","2021-09-21",2021,"TV-14",2,"Seasons","Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",93,"present","present","Seven young adults on the autism spectrum dive headfirst into the dating pool, exploring the unpredictable world of love and relationships."
"s114","Movie","Afterlife of the Party","2021-09-02",2021,"TV-PG",110,"min","Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.",72,"present","absent","Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings."
"s118","Movie","Final Account","2021-09-02",2021,"PG-13",94,"min","This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.",48,"present","absent","Never-before-seen interviews with the last living generation from Hitler's Third Reich. This is the past speaking to the present. An unprecedented documentary event."
"s121","TV Show","Heroes of Goo Jit Zu","2021-09-02",2021,"TV-Y7",1,"Season","After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers.",78,"absent","absent","After a meteor crash, zoo animals transform into squishy, gooey and stretchy superheroes with special powers and soon take on evildoers."
"s126","TV Show","Q-Force","2021-09-02",2021,"TV-MA",1,"Season","A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!",75,"absent","present","A handsome secret agent and his team of LGBTQ+ superspies embark on extraordinary adventures."
"s31","Movie","Ankahi Kahaniya","2021-09-17",2021,"TV-14",111,"min","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",48,"present","absent","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
"s32","TV Show","Chicago Party Aunt","2021-09-17",2021,"TV-MA",1,"Season","Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.",71,"absent","present","Diane, AKA the Chicago Party Aunt, is always the life of the party as she helps neighbours and stays true to her mantras."
"s34","TV Show","Squid Game","2021-09-17",2021,"TV-MA",1,"Season","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",93,"present","present","Hundreds of cash-strapped contestants accept an invitation to compete in children's games for a tempting prize, but the stakes are deadly."
"s36","Movie","The Father Who Moves Mountains","2021-09-17",2021,"TV-MA",110,"min","When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",43,"present","absent","When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing -- and risk everything -- to find him."
"s37","Movie","The Stronghold","2021-09-17",2021,"TV-MA",105,"min","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",88,"present","absent","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. However, lines blur when a key informant makes a big ask."
"s40","TV Show","Chhota Bheem","2021-09-16",2021,"TV-Y7",3,"Seasons","A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",68,"absent","present","Bheem is an extremely brave, strong and intelligent young boy. He often manages to solve everyone's problems which endears him to the townspeople of Dholakpur."
"s41","TV Show","He-Man and the Masters of the Universe","2021-09-16",2021,"TV-Y7",1,"Season","Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.",88,"absent","absent","When he holds up the magical Sword of Power and utters the words ""By the power of Grayskull,"" Prince Adam transforms into Eternia\'s greatest champion, He-Man, who uses his powers to defend the realm from Skeletor and his evil forces."
"s50","TV Show","Castle and Castle","2021-09-15",2021,"TV-MA",2,"Seasons","A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",87,"absent","absent","A pair of successful lawyers find their marriage strained when they divide their strengths to represent different sides of the law."
"s56","TV Show","Nailed It","2021-09-15",2021,"TV-PG",6,"Seasons","Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",91,"absent","present","Home bakers who have a poor track record in the kitchen seek redemption -- and cash -- on this series. In each episode, three contestants try their hand at re-creating edible masterpieces. The projects don't always turn out great, but whichever amateur baker comes closest to a successful dessert by the end of the episode takes home the $10,000 prize, which they might want to use on baking lessons. Comic Nicole Byer and renowned pastry chef Jacques Torres host the culinary competition that features such challenges as painting self-portraits on cookies.â€¦\xa0MORE"
"s65","Movie","Nightbooks","2021-09-15",2021,"TV-PG",103,"min","Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.",65,"absent","absent","Scary story fan Alex must tell a spine-tingling tale every night, or stay trapped with his new friend in a wicked witch's magical apartment forever."
"s66","TV Show","Numberblocks","2021-09-15",2021,"TV-Y",6,"Seasons","In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",84,"present","absent","The adventures of ten friends in Numberland who can always count on each other. Each friend has a different ability that helps them on their adventures."
"s71","TV Show","Too Hot To Handle: Latino","2021-09-15",2021,"TV-MA",1,"Season","On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",79,"present","absent","Young singles come together in a tropical paradise for what they think will be the hottest summer of their lives. However, there's a twist: they'll have to give up all hanky panky if they want to win the $100,000 grand prize."
"s72","Movie","A StoryBots Space Adventure","2021-09-14",2021,"TV-Y",13,"min","Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.",48,"absent","absent","The Inspiration4 crew members and the StoryBots answer kids' questions about space travel, including how rockets work, how the crew members train and how they eat and sleep in space."
"s73","TV Show","Jack Whitehall: Travels with My Father","2021-09-14",2021,"TV-MA",5,"Seasons","Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",90,"absent","present","Comic Jack Whitehall and his father, Michael, are like an odd couple -- the son is jovial and the patriarch is stuffy. So traveling together makes for an interesting dynamic, as viewers experience in this travelogue series. Jack invites Michael to go with him on a trip through Southeast Asia in an attempt to try to strengthen their bond. Along the way, the Whitehalls partake in a number of unique experiences, including attending an elephant polo match in Bangkok and taking a primitive train ride in Cambodia. When it's over, the father and son reflect on the impact of their journey. Subsequent seasons take the father-son duo to other parts of the world.â€¦\xa0MORE"
"s75","TV Show","The World's Most Amazing Vacation Rentals","2021-09-14",2021,"TV-PG",2,"Seasons","With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",91,"absent","absent","With an eye for every budget, three travellers visit holiday rentals around the globe and share their expert tips and tricks."
"s76","Movie","You vs. Wild: Out Cold","2021-09-14",2021,"TV-G",106,"min","After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",75,"absent","absent","A plane crash in icy mountains leaves adventurer Bear Grylls with amnesia, and he must make choices to save the missing pilot and survive in this interactive adventure."
"s80","Movie","Tughlaq Durbar (Telugu)","2021-09-11",2021,"TV-14",145,"min","A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.",64,"present","absent","A young politician has devious plans to advance his career. However, he suddenly develops a conscientious alter ego that interferes with his crooked efforts."
"s81","Movie","Firedrake the Silver Dragon","2021-09-10",2021,"TV-Y7",93,"min","When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",52,"absent","absent","A young silver dragon joins his forces with a mountain spirit and an orphaned boy, in search of the mythological safe haven for dragons. However, the journey of the unlikely group of heroes hides great danger and many surprises."
"s82","Movie","Kate","2021-09-10",2021,"R",106,"min","Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",74,"absent","absent","Slipped a fatal poison on her final job, a ruthless Tokyo assassin has less than 24 hours to find out who ordered the hit and exact revenge."
"s83","TV Show","Lucifer","2021-09-10",2021,"TV-14",6,"Seasons","Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",95,"present","present","Based on characters created by Neil Gaiman, Sam Kieth and Mike Dringenberg, this series follows Lucifer, the original fallen angel, who has become dissatisfied with his life in hell. After abandoning his throne and retiring to Los Angeles, Lucifer indulges in his favorite things (women, wine and song) -- until a murder takes place outside of his upscale nightclub. For the first time in billions of years, the murder awakens something unfamiliar in Lucifer's soul that is eerily similar to compassion and sympathy. Lucifer is faced with another surprise when he meets an intriguing homicide detective named Chloe, who appears to possess an inherent goodness -- unlike the worst of humanity, to which he is accustomed. Suddenly, Lucifer starts to wonder if there is hope for his soul.â€¦\xa0MORE"
"s84","TV Show","Metal Shop Masters","2021-09-10",2021,"TV-MA",1,"Season","On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",61,"absent","absent","Seven of America's top welding legends battle for the title of Metal Shop Master."
"s87","Movie","Prey","2021-09-10",2021,"TV-MA",87,"min","A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.",87,"absent","absent","A skilled Comanche warrior protects her tribe from a highly evolved alien predator that hunts humans for sport, fighting against wilderness, dangerous colonisers and this mysterious creature to keep her people safe."
"s131","Movie","Barbie Big City Big Dreams","2021-09-01",2021,"TV-Y",63,"min","At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends.",72,"absent","absent","Barbie swaps the sunny shores of Malibu for the bright lights of Broadway to attend an exclusive summer performing arts programme and meets Barbie. The two friends soon discover they share more than a name."
"s148","TV Show","How to Be a Cowboy","2021-09-01",2021,"TV-PG",1,"Season","Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now he's teaching the world how to cowboy right, ol' son.",85,"absent","absent","Dale Brisby keeps cowboy traditions alive through the power of social media and rodeo skills; now, he's teaching the world how to be a cowboy the right way."
"s182","TV Show","Turning Point: 9/11 and the War on Terror","2021-09-01",2021,"TV-14",1,"Season","This unflinching series documents the 9/11 terrorist attacks, from Al Qaeda's roots in the 1980s to America's response, both at home and abroad.",90,"present","present","Chronicling events of Sept. 11, 2001, with interviews from administration officials, ex-CIA members, U.S. veterans, Afghanistan National Army soldiers, Taliban commanders, Afghan government officials, Afghan warlords, Afghan civilians and survivors."
"s903","TV Show","Mine","2021-05-09",2021,"TV-14",1,"Season","Encaged in a gold-clad life of secrets and lies, two women in a conglomerate family seek to topple all that stands in their way of finding true joy.",72,"absent","absent","After botching an assassination attempt, sniper Mike Stevens escapes into the desert but steps on a mine. He must stay in the same spot for 52 hours awaiting rescue while facing the harsh conditions."
"s904","Movie","Nayattu","2021-05-09",2021,"TV-MA",122,"min","Three police officers become pawns for unscrupulous lawmakers when they are framed in an incident amid political elections and must flee to evade arrest.",89,"absent","absent","Three police officers go on the run after being framed for a crime by corrupt officials. Against the backdrop of dirty politics and bureaucracy, they strive to avoid being arrested."
"s906","Movie","Super Me","2021-05-08",2021,"TV-14",104,"min","A struggling screenwriter discovers his lucrative ability to bring antiques from his dreams into the real world — but his new life soon unravels.",49,"present","absent","A struggling screenwriter discovers his lucrative ability to bring antiques from his dreams into the real world -- but his new life soon unravels."
"s909","TV Show","Jupiter's Legacy","2021-05-07",2021,"TV-MA",1,"Season","They're the first generation of superheroes. But as they pass the torch to their children, tensions are rising — and the old rules no longer apply.",72,"present","present","The super-powered children of superheroes struggle to live up to the legendary feats of their parents."
"s919","TV Show","Lava Ka Dhaava","2021-05-05",2021,"TV-PG",1,"Season","Actor Jaaved Jaafferi brings his signature humor to this Hindi dubbing of the show where teams creatively navigate rooms flooded with make-believe lava.",42,"present","absent","Javed Jaffrey brings his signature humour to this game show, in which teams navigate rooms flooded with make-believe lava."
"s920","TV Show","The Sons of Sam: A Descent into Darkness","2021-05-05",2021,"TV-MA",1,"Season","The Son of Sam case grew into a lifelong obsession for journalist Maury Terry, who became convinced that the murders were linked to a satanic cult.",80,"present","present","Author Maury Terry becomes convinced that serial killer David Berkowitz did not act alone and tries to prove that the web of darkness behind the Son of Sam murders goes deeper than anyone imagined -- and his investigation costs him everything."
"s924","TV Show","Trash Truck","2021-05-04",2021,"TV-Y",2,"Seasons","Six-year old Hank and his best pal, a giant trash truck, explore the world around them on fantastical adventures with their animal friends.",76,"present","absent","Six-year-old Hank and his best pal, a giant trash truck, go on lots of adventures, from learning how to fly to going to the movies."
"s827","Movie","Bo Burnham: Inside","2021-05-30",2021,"TV-MA",88,"min","A new comedy special shot and performed by Bo Burnham, alone, over the course of the past year.",97,"absent","absent","Comedian Bo Burnham shoots and performs a comedy special over the course of a year, all alone, with no crew or audience."
"s828","Movie","One Lagos Night","2021-05-29",2021,"TV-14",103,"min","A desperate man attempts to burglarize the home of a wealthy woman, but finds himself face-to-face with a crew of armed robbers who have the same idea.",62,"absent","absent","A desperate man attempts to burglarize the home of a wealthy woman but finds himself face to face with a crew of armed robbers who has the same idea."
"s830","Movie","Dog Gone Trouble","2021-05-28",2021,"TV-Y7",88,"min","The privileged life of a pampered dog named Trouble is turned upside-down when he gets lost and must learn to survive on the big-city streets.",69,"absent","absent","A pampered dog named Trouble must learn to live in the real world while trying to escape from his former owner's greedy children."
"s831","TV Show","The Kominsky Method","2021-05-28",2021,"TV-MA",3,"Seasons","Acting coach Sandy Kominsky and best friend Norman Newlander keep each other laughing as they navigate the ups and downs of getting older.",92,"absent","present","He may be in his twilight years, but aging acting coach Sandy Kominsky isn't ready to ride off into the sunset just yet. The once-famous Kominsky and his longtime agent, Norman Newlander, keep each other laughing as they tackle the curveballs that life throws at them while navigating their later years in Los Angeles, a city that values youth and beauty. The Netflix original sitcom has a strong Hollywood pedigree; it was created by multiple Emmy winner Chuck Lorre and stars Oscar winners Michael Douglas and Alan Arkin as Kominsky and Newlander, respectively.â€¦\xa0MORE"
"s832","TV Show","The Least Expected Day: Inside the Movistar Team 2019","2021-05-28",2021,"TV-MA",2,"Seasons","Pro cycling’s Movistar Team sets their sights on victory while on the road as they face challenges, controversy and internal conflict.",80,"absent","absent","Pro cycling's Movistar Team sets their sights on victory while on the road as they face challenges, controversy and internal conflict."
"s833","TV Show","Word of Honor","2021-05-28",2021,"TV-14",1,"Season","A disillusioned royal magistrate sets out for the martial arts world, where he encounters a bosom friend and becomes entangled in a conspiracy.",92,"absent","present","The disillusioned leader of a royal praetorian secret service takes drastic measures to leave his former life behind and enter the world of martial arts."
"s834","TV Show","Black Space","2021-05-27",2021,"TV-MA",1,"Season","A rogue detective with unorthodox means leads an investigation into a massacre committed by unicorn mask-wearing assassins at an Israeli high school.",73,"present","absent","A rogue detective with unorthodox means leads an investigation into a massacre committed by unicorn mask-wearing assassins at an Israeli high school."
"s835","Movie","Blue Miracle","2021-05-27",2021,"TV-PG",97,"min","To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition.",84,"absent","absent","To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition."
"s837","Movie","Ghost Lab","2021-05-27",2021,"TV-MA",118,"min","After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist.",69,"present","absent","After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist."
"s841","Movie","Baggio: The Divine Ponytail","2021-05-26",2021,"TV-MA",92,"min","The story of Roberto Baggio, one of the best soccer players of all time, including his career highs, triumphs over injuries and discovery of Buddhism.",72,"absent","absent","A chronicle of the 22-year career of soccer star Roberto Baggio, including his difficult debut as a player and his deep rifts with some of his coaches."
"s842","Movie","Gatao - The Last Stray","2021-05-26",2021,"TV-MA",120,"min","Romance unexpectedly blossoms when a freelance photographer arrives late to her assignment at a full moon celebration thrown for a mob boss's newborn.",78,"absent","absent","Romance unexpectedly blossoms when a freelance photographer arrives late to her assignment at a full moon celebration thrown for a mob boss's newborn."
"s843","TV Show","High on the Hog: How African American Cuisine Transformed America","2021-05-26",2021,"TV-14",1,"Season","Black food is American food. Chef and writer Stephen Satterfield traces the delicious, moving throughlines from Africa to Texas in this docuseries.",89,"present","present","Food writer Stephen Satterfield traces the origins of African-American cuisine, tracing its through lines from Africa to Texas."
"s848","TV Show","Mad for Each Other","2021-05-24",2021,"TV-MA",1,"Season","Bothered to realize they are next-door neighbors and share a psychiatrist, a man and a woman find it's impossible to stay out of each other's way.",89,"present","present","A man and a woman who live next door to each other realize they also share a psychiatrist, and they can't seem to stay out of each other's way."
"s849","TV Show","Master of None","2021-05-23",2021,"TV-MA",3,"Seasons","Dev tries to jump-start his acting career and elevate his dating game with help from his eclectic group of friends in this award-winning series.",87,"present","present","Comic Aziz Ansari and writer Alan Yang are the creators of this Netflix-original comedy, which is loosely based on Ansari's real-life experiences. Ansari plays the role of Dev, a New York-based actor who is struggling to identify what he really wants, both personally and professionally. The series reveals glimpses of Dev's younger years, and explores current aspects of his life, including modern etiquette (regarding texting and social media), and being young and single in the city. Other important people in Dev's life are featured, including Dev's parents, played by Ansari's real-life mother and father, Fatima and Shoukath.â€¦\xa0MORE"
"s851","Movie","99 Songs","2021-05-21",2021,"TV-14",131,"min","Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey.",59,"present","absent","A musician must compose 100 songs in order to reunite with his lover. However, his journey of heartbreak, redemption, loss and faith allows him to discover much more than love."
"s852","Movie","99 Songs (Tamil)","2021-05-21",2021,"TV-14",131,"min","Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey.",59,"present","absent","A musician must compose 100 songs in order to reunite with his lover. However, his journey of heartbreak, redemption, loss and faith allows him to discover much more than love."
